Topic,Problem,Difficulty,Pattern
Learn the Basics,User Input / Output,Easy,Basic / Brute Force
Learn the Basics,Data Types,Easy,Basic / Brute Force
Learn the Basics,If Else statements,Easy,Basic / Brute Force
Learn the Basics,Switch Statement,Easy,Basic / Brute Force
Learn the Basics,"What are arrays, strings etc",Easy,Basic / Brute Force
Learn the Basics,For loops,Easy,Basic / Brute Force
Learn the Basics,While loops,Easy,Basic / Brute Force
Learn the Basics,Functions / Pass by reference and value,Easy,Basic / Brute Force
Learn the Basics,Counting frequencies of array elements,Easy,Basic / Brute Force / Hash Maps
Learn the Basics,Hashing Theory,Easy,Basic / Brute Force / Hash Maps
Learn the Basics,Counting frequencies by hashing,Easy,Basic / Brute Force / Hash Maps
Learn the Basics,Find highest / lowest frequency element,Easy,Basic / Brute Force / Hash Maps
Learn the Basics,Patterns - 1,Easy,Basic / Brute Force
Learn the Basics,Patterns - 2,Easy,Basic / Brute Force
Learn the Basics,Patterns - 3,Easy,Basic / Brute Force
Learn the Basics,Patterns - 4,Easy,Basic / Brute Force
Learn the Basics,Patterns - 5,Easy,Basic / Brute Force
Learn the Basics,Patterns - 6,Easy,Basic / Brute Force
Learn the Basics,Patterns - 7,Easy,Basic / Brute Force
Learn the Basics,Patterns - 8,Easy,Basic / Brute Force
Learn the Basics,Patterns - 9,Easy,Basic / Brute Force
Learn the Basics,Patterns - 10,Easy,Basic / Brute Force
Learn the Basics,Patterns - 11,Easy,Basic / Brute Force
Learn the Basics,Patterns - 12,Easy,Basic / Brute Force
Learn the Basics,Patterns - 13,Easy,Basic / Brute Force
Learn the Basics,Patterns - 14,Easy,Basic / Brute Force
Learn the Basics,Patterns - 15,Easy,Basic / Brute Force
Learn the Basics,Patterns - 16,Easy,Basic / Brute Force
Learn the Basics,Patterns - 17,Easy,Basic / Brute Force
Learn the Basics,Patterns - 18,Easy,Basic / Brute Force
Learn the Basics,Patterns - 19,Easy,Basic / Brute Force
Learn the Basics,Patterns - 20,Easy,Basic / Brute Force
Learn the Basics,Patterns - 21,Easy,Basic / Brute Force
Learn the Basics,Patterns - 22,Easy,Basic / Brute Force
Learn the Basics,Reverse a number,Easy,Basic / Brute Force / Math
Learn the Basics,Check Palindrome,Easy,Basic / Brute Force / Two Pointers
Learn the Basics,Check Armstrong,Easy,Basic / Brute Force / Math
Learn the Basics,Print all divisors,Easy,Basic / Brute Force / Math
Learn the Basics,Check for prime,Easy,Basic / Brute Force / Math
Learn the Basics,GCD or HCF,Easy,Basic / Brute Force / Math
Learn the Basics,LCM And GCD,Easy,Basic / Brute Force / Math
Learn the Basics,Check if number is armstrong,Easy,Basic / Brute Force / Math
Learn the Basics,Sum of all divisors,Easy,Basic / Brute Force / Math
Learn the Basics,Check Perfect Number,Easy,Basic / Brute Force / Math
Learn the Basics,Check Prime,Easy,Basic / Brute Force / Math
Learn the Basics,Prime Factors,Easy,Basic / Brute Force / Math
Learn the Basics,Power of a number,Easy,Basic / Brute Force / Math
Learn the Basics,Sieve of Eratosthenes,Easy,Basic / Brute Force / Math
